,Country,Obesity,Total_Active_Cases,size
0,Afghanistan,4.5,4895.0,below
1,Albania,22.3,31891.0,below
2,Algeria,26.6,31390.0,below
3,Angola,6.8,1112.0,below
4,Antigua and Barbuda,19.1,94.0,below
5,Argentina,28.5,155520.0,above
6,Armenia,20.9,5246.0,below
7,Australia,30.4,1856.0,below
8,Austria,21.9,13677.0,below
9,Azerbaijan,19.9,2905.0,below
10,Bahamas,32.1,1261.0,below
11,Bangladesh,3.4,46739.0,below
12,Barbados,24.8,309.0,below
13,Belarus,26.6,10245.0,below
14,Belgium,24.5,702518.0,above
15,Belize,22.4,252.0,below
16,Benin,8.2,575.0,below
17,Bolivia,18.7,49021.0,below
18,Bosnia and Herzegovina,19.4,21531.0,below
19,Botswana,16.1,3766.0,below
20,Brazil,22.3,788139.0,above
21,Bulgaria,27.4,21050.0,below
22,Burkina Faso,4.5,1053.0,below
23,Cabo Verde,10.6,561.0,below
24,Cambodia,3.5,20.0,below
25,Cameroon,9.5,1419.0,below
26,Central African Republic,6.3,41.0,below
27,Chad,4.8,499.0,below
28,China,6.6,1774.0,below
29,Colombia,22.1,73183.0,above
30,Congo,8.4,9791.0,below
31,Costa Rica,25.7,37585.0,below
32,Cote d'Ivoire,9.0,1632.0,below
33,Croatia,27.1,2904.0,below
34,Cuba,26.7,5739.0,below
35,Cyprus,22.6,29376.0,below
36,Czechia,28.5,96194.0,above
37,Denmark,21.3,6869.0,below
38,Djibouti,12.2,26.0,below
39,Dominica,28.2,11.0,below
40,Dominican Republic,26.9,53688.0,above
41,Ecuador,19.3,32297.0,below
42,Egypt,31.1,27448.0,below
43,El Salvador,22.7,4133.0,below
44,Estonia,23.8,9408.0,below
45,Eswatini,13.5,4108.0,below
46,Ethiopia,3.6,13777.0,below
47,Fiji,30.0,1.0,below
48,Finland,24.9,15574.0,below
49,France,23.2,3058427.0,above
50,Gabon,13.4,589.0,below
51,Gambia,8.7,217.0,below
52,Georgia,23.3,5536.0,below
53,Germany,25.7,181464.0,above
54,Ghana,9.7,6095.0,below
55,Greece,27.4,63498.0,above
56,Grenada,20.2,1.0,below
57,Guatemala,18.8,8166.0,below
58,Guinea,6.6,261.0,below
59,Guinea-Bissau,8.2,299.0,below
60,Guyana,19.2,797.0,below
61,Haiti,20.5,2357.0,below
62,Honduras,19.4,88410.0,above
63,Hungary,28.6,84150.0,above
64,Iceland,23.1,33.0,below
65,India,3.8,148766.0,above
66,Indonesia,6.9,176433.0,above
67,Iran (Islamic Republic of),25.5,153584.0,above
68,Iraq,27.4,15138.0,below
69,Ireland,26.9,175510.0,above
70,Israel,26.7,71368.0,above
71,Italy,22.9,427034.0,above
72,Jamaica,24.4,4259.0,below
73,Japan,4.4,39039.0,below
74,Jordan,33.4,9996.0,below
75,Kazakhstan,21.3,27159.0,below
76,Kenya,6.0,15612.0,below
77,"Korea, South",4.9,8560.0,below
78,Kuwait,37.0,7979.0,below
79,Kyrgyzstan,15.4,2027.0,below
80,Lao People's Democratic Republic,4.5,4.0,below
81,Latvia,25.7,10594.0,below
82,Lebanon,31.3,113137.0,above
83,Lesotho,13.5,6491.0,below
84,Liberia,8.6,102.0,below
85,Lithuania,28.4,45338.0,below
86,Luxembourg,24.2,2501.0,below
87,Madagascar,4.5,569.0,below
88,Malawi,4.7,14690.0,below
89,Malaysia,15.3,50894.0,above
90,Maldives,7.9,2046.0,below
91,Mali,7.1,1768.0,below
92,Malta,31.0,2401.0,below
93,Mauritania,11.3,382.0,below
94,Mauritius,11.5,34.0,below
95,Mexico,28.4,278156.0,above
96,Mongolia,19.6,572.0,below
97,Montenegro,24.9,7675.0,below
98,Morocco,25.6,12664.0,below
99,Mozambique,6.0,16871.0,below
100,Namibia,15.0,1114.0,below
101,Nepal,3.8,1959.0,below
102,Netherlands,23.1,988003.0,above
103,New Zealand,32.0,66.0,below
104,Nicaragua,21.8,1904.0,below
105,Niger,4.7,483.0,below
106,Nigeria,7.8,25038.0,below
107,North Macedonia,23.9,7948.0,below
108,Norway,25.0,46073.0,below
109,Oman,22.9,6243.0,below
110,Pakistan,7.8,32265.0,below
111,Panama,22.5,30885.0,below
112,Paraguay,19.0,21430.0,below
113,Peru,19.1,44469.0,below
114,Philippines,6.0,35946.0,below
115,Poland,25.6,204965.0,above
116,Portugal,23.2,148359.0,above
117,Republic of Moldova,20.1,7517.0,below
118,Romania,24.5,35060.0,below
119,Russian Federation,25.7,434098.0,above
120,Rwanda,4.8,4073.0,below
121,Saint Kitts and Nevis,23.1,4.0,below
122,Saint Lucia,19.8,920.0,below
123,Saint Vincent and the Grenadines,23.8,798.0,below
124,Samoa,45.5,0.0,below
125,Sao Tome and Principe,10.6,273.0,below
126,Saudi Arabia,35.0,2327.0,below
127,Senegal,7.4,4522.0,below
128,Serbia,23.5,402240.0,above
129,Sierra Leone,7.5,1241.0,below
130,Slovakia,22.4,18418.0,below
131,Slovenia,22.5,15798.0,below
132,Solomon Islands,20.5,7.0,below
133,South Africa,27.0,87023.0,above
134,Spain,27.1,2730228.0,above
135,Sri Lanka,5.4,5631.0,below
136,Sudan,7.4,6009.0,below
137,Suriname,26.5,516.0,below
138,Sweden,22.1,575947.0,above
139,Switzerland,21.2,204667.0,above
140,Tajikistan,12.6,0.0,below
141,Thailand,10.8,6350.0,below
142,Timor-Leste,2.9,19.0,below
143,Togo,7.1,822.0,below
144,Trinidad and Tobago,19.7,222.0,below
145,Tunisia,27.3,36129.0,below
146,Turkey,32.2,85596.0,above
147,Uganda,4.1,25145.0,below
148,Ukraine,26.1,151794.0,above
149,United Arab Emirates,29.9,21407.0,below
150,United Kingdom,29.5,3818786.0,above
151,United Republic of Tanzania,7.1,305.0,below
152,United States of America,37.3,26455618.0,above
153,Uruguay,28.9,5862.0,below
154,Uzbekistan,15.3,934.0,below
155,Vanuatu,23.5,0.0,below
156,Venezuela (Bolivarian Republic of),25.2,6846.0,below
157,Vietnam,2.1,482.0,below
158,Yemen,14.1,84.0,below
159,Zambia,6.5,7178.0,below
160,Zimbabwe,12.3,4788.0,below
